mode,version,rows_train,rows_valid,auc,ks,f1,precision,recall,decision_threshold,base_rate,created_at,file
full,1,314,79,,0.0,,0.0,0.0,0.5,0.0,2025-10-16T22:02:54.908943,metrics_v1.json
full,2,990,248,0.7268284106891703,0.389732770745429,0.8069164265129684,0.7407407407407407,0.8860759493670886,0.5,0.6389337641357028,2025-10-16T22:43:49.349311,metrics_v2.json
full,3,990,248,0.7259493670886076,0.39127988748241915,0.8022922636103151,0.7329842931937173,0.8860759493670886,0.5,0.6389337641357028,2025-10-16T22:45:18.546787,metrics_v3.json
full,4,1054,264,0.7315848214285714,0.37648809523809523,0.7924528301886793,0.7241379310344828,0.875,0.5,0.6358118361153262,2025-11-13T20:19:35.716996,metrics_v4.json
